Date,Date,,# of cases,# of deaths
2020-06-12,2020-06-12,​ ​ ​,"5,919(+2.8%)",69(+4.5%)
2020-06-13,2020-06-13,​ ​ ​,"6,039(+2%)",72(+4.3%)
2020-06-14,2020-06-14,​ ​ ​,"6,243(+3.4%)",79(+9.7%)
2020-06-15,2020-06-15,​ ​ ​,"6,514(+4.3%)",81(+2.5%)
2020-06-16,2020-06-16,​ ​ ​,"6,821(+4.7%)",86(+6.2%)
2020-06-17,2020-06-17,​ ​ ​,"7,000(+2.6%)",89(+3.5%)
2020-06-18,2020-06-18,​ ​ ​,"7,213(+3%)",94(+5.6%)
2020-06-19,2020-06-19,​ ​ ​,"7,530(+4.4%)",102(+8.5%)
2020-06-20,2020-06-20,​ ​ ​,"7,734(+2.7%)",114(+12%)
2020-06-21,2020-06-21,​ ​ ​,"7,944(+2.7%)",124(+8.8%)
2020-06-22,2020-06-22,​ ​ ​,"8,281(+4.2%)",132(+6.5%)
2020-06-23,2020-06-23,​ ​ ​,"8,697(+5%)",137(+3.8%)
2020-06-24,2020-06-24,​ ​ ​,"9,150(+5.2%)",142(+3.6%)
2020-06-25,2020-06-25,​ ​ ​,"9,399(+2.7%)",150(+5.6%)
2020-06-26,2020-06-26,​ ​ ​,"9,721(+3.4%)",164(+9.3%)
2020-06-27,2020-06-27,​ ​ ​,"10,118(+4.1%)",170(+3.7%)
2020-06-28,2020-06-28,​ ​ ​,"10,560(+4.4%)",180(+5.9%)
2020-06-29,2020-06-29,​ ​ ​,"11,005(+4.2%)",191(+6.1%)
2020-06-30,2020-06-30,​ ​ ​,"11,923(+8.3%)",207(+8.4%)
2020-07-01,2020-07-01,​ ​ ​,"13,120(+10%)",226(+9.2%)
2020-07-02,2020-07-02,​ ​ ​,"14,295(+9%)",246(+8.8%)
2020-07-03,2020-07-03,​ ​ ​,"15,242(+6.6%)",253(+2.8%)
2020-07-04,2020-07-04,​ ​ ​,"16,514(+8.3%)",272(+7.5%)
2020-07-05,2020-07-05,​ ​ ​,"18,016(+9.1%)",293(+7.7%)
2020-07-06,2020-07-06,​ ​ ​,"19,710(+9.4%)",335(+14%)
2020-07-07,2020-07-07,​ ​ ​,"21,549(+9.3%)",372(+11%)
2020-07-08,2020-07-08,​ ​ ​,"23,474(+8.9%)",401(+7.8%)
2020-07-09,2020-07-09,​ ​ ​,"25,317(+7.9%)",416(+3.7%)
2020-07-10,2020-07-10,​ ​ ​,"26,815(+5.9%)",470(+13%)
2020-07-11,2020-07-11,​ ​ ​,"28,877(+7.7%)",486(+3.4%)
2020-07-12,2020-07-12,​ ​ ​,"31,105(+7.7%)",543(+12%)
2020-07-13,2020-07-13,​ ​ ​,"33,418(+7.4%)",613(+13%)
2020-07-14,2020-07-14,​ ​ ​,"36,216(+8.4%)",684(+12%)
2020-07-15,2020-07-15,​ ​ ​,"38,843(+7.3%)",757(+11%)
2020-07-16,2020-07-16,​ ​ ​,"41,582(+7.1%)",842(+11%)
2020-07-17,2020-07-17,​ ​ ​,"44,078(+6%)",928(+10%)
2020-07-18,2020-07-18,​ ​ ​,"47,254(+7.2%)","1,032(+11%)"
2020-07-19,2020-07-19,​ ​ ​,"51,423(+8.8%)","1,147(+11%)"
2020-07-20,2020-07-20,​ ​ ​,"55,115(+7.2%)","1,240(+8.1%)"
2020-07-21,2020-07-21,​ ​ ​,"59,652(+8.2%)","1,331(+7.3%)"
2020-07-22,2020-07-22,​ ​ ​,"63,772(+6.9%)","1,403(+5.4%)"
2020-07-23,2020-07-23,​ ​ ​,"67,420(+5.7%)","1,464(+4.3%)"
2020-07-24,2020-07-24,​ ​ ​,"71,069(+5.4%)","1,519(+3.8%)"
2020-07-25,2020-07-25,​ ​ ​,"75,833(+6.7%)","1,616(+6.4%)"
2020-07-26,2020-07-26,​ ​ ​,"80,863(+6.6%)","1,724(+6.7%)"
2020-07-27,2020-07-27,​ ​ ​,"85,870(+6.2%)","1,796(+4.2%)"
2020-07-28,2020-07-28,​ ​ ​,"90,942(+5.9%)","1,878(+4.6%)"
2020-07-29,2020-07-29,​ ​ ​,"96,141(+5.7%)","1,953(+4%)"
2020-07-30,2020-07-30,​ ​ ​,"101,465(+5.5%)","2,055(+5.2%)"
2020-07-31,2020-07-31,​ ​ ​,"107,001(+5.5%)","2,147(+4.5%)"
2020-08-01,2020-08-01,​ ​ ​,"112,504(+5.1%)","2,230(+3.9%)"
2020-08-02,2020-08-02,​ ​ ​,"118,632(+5.4%)","2,314(+3.8%)"
2020-08-03,2020-08-03,​ ​ ​,"124,115(+4.6%)","2,412(+4.2%)"
2020-08-04,2020-08-04,​ ​ ​,"129,287(+4.2%)","2,496(+3.5%)"
2020-08-05,2020-08-05,​ ​ ​,"134,819(+4.3%)","2,594(+3.9%)"
2020-08-06,2020-08-06,​ ​ ​,"139,571(+3.5%)","2,704(+4.2%)"
2020-08-07,2020-08-07,​ ​ ​,"145,830(+4.5%)","2,804(+3.7%)"
2020-08-08,2020-08-08,​ ​ ​,"151,449(+3.9%)","2,897(+3.3%)"
2020-08-09,2020-08-09,​ ​ ​,"158,254(+4.5%)","2,998(+3.5%)"
2020-08-10,2020-08-10,​ ​ ​,"164,924(+4.2%)","3,091(+3.1%)"
2020-08-11,2020-08-11,​ ​ ​,"172,102(+4.4%)","3,198(+3.5%)"
2020-08-12,2020-08-12,​ ​ ​,"178,087(+3.5%)","3,312(+3.6%)"
2020-08-13,2020-08-13,​ ​ ​,"182,354(+2.4%)","3,398(+2.6%)"
2020-08-14,2020-08-14,​ ​ ​,"188,611(+3.4%)","3,510(+3.3%)"
2020-08-15,2020-08-15,​ ​ ​,"196,494(+4.2%)","3,613(+2.9%)"
2020-08-16,2020-08-16,​ ​ ​,"203,200(+3.4%)","3,717(+2.9%)"
2020-08-17,2020-08-17,​ ​ ​,"211,108(+3.9%)","3,831(+3.1%)"
2020-08-18,2020-08-18,​ ​ ​,"219,926(+4.2%)","3,947(+3%)"
2020-08-19,2020-08-19,​ ​ ​,"226,966(+3.2%)","4,062(+2.9%)"
2020-08-20,2020-08-20,​ ​ ​,"233,283(+2.8%)","4,201(+3.4%)"
2020-08-21,2020-08-21,​ ​ ​,"240,948(+3.3%)","4,327(+3%)"
2020-08-22,2020-08-22,​ ​ ​,"249,590(+3.6%)","4,429(+2.4%)"
2020-08-23,2020-08-23,​ ​ ​,"256,975(+3%)","4,522(+2.1%)"
2020-08-24,2020-08-24,​ ​ ​,"264,546(+2.9%)","4,615(+2.1%)"
2020-08-25,2020-08-25,​ ​ ​,"271,876(+2.8%)","4,683(+1.5%)"
2020-08-26,2020-08-26,​ ​ ​,"277,814(+2.2%)","4,810(+2.7%)"
2020-08-27,2020-08-27,​ ​ ​,"283,665(+2.1%)","4,958(+3.1%)"
2020-08-28,2020-08-28,​ ​ ​,"291,826(+2.9%)","5,091(+2.7%)"
2020-08-29,2020-08-29,​ ​ ​,"300,406(+2.9%)","5,232(+2.8%)"
2020-08-30,2020-08-30,​ ​ ​,"309,792(+3.1%)","5,368(+2.6%)"
2020-08-31,2020-08-31,​ ​ ​,"318,752(+2.9%)","5,483(+2.1%)"
2020-09-01,2020-09-01,​ ​ ​,"327,076(+2.6%)","5,589(+1.9%)"
2020-09-02,2020-09-02,​ ​ ​,"335,928(+2.7%)","5,702(+2%)"
2020-09-03,2020-09-03,​ ​ ​,"342,423(+1.9%)","5,837(+2.4%)"
2020-09-04,2020-09-04,​ ​ ​,"351,481(+2.6%)","5,950(+1.9%)"
2020-09-05,2020-09-05,​ ​ ​,"361,341(+2.8%)","6,054(+1.7%)"
2020-09-06,2020-09-06,​ ​ ​,"370,206(+2.5%)","6,170(+1.9%)"
2020-09-07,2020-09-07,​ ​ ​,"379,486(+2.5%)","6,298(+2.1%)"
2020-09-08,2020-09-08,​ ​ ​,"389,232(+2.6%)","6,393(+1.5%)"
2020-09-09,2020-09-09,​ ​ ​,"398,551(+2.4%)","6,534(+2.2%)"
2020-09-10,2020-09-10,​ ​ ​,"404,324(+1.4%)","6,680(+2.2%)"
2020-09-11,2020-09-11,​ ​ ​,"412,190(+1.9%)","6,808(+1.9%)"
2020-09-12,2020-09-12,​ ​ ​,"421,730(+2.3%)","6,937(+1.9%)"
2020-09-13,2020-09-13,​ ​ ​,"430,947(+2.2%)","7,067(+1.9%)"
2020-09-14,2020-09-14,​ ​ ​,"440,411(+2.2%)","7,161(+1.3%)"
2020-09-15,2020-09-15,​ ​ ​,"449,551(+2.1%)","7,265(+1.5%)"
2020-09-16,2020-09-16,​ ​ ​,"459,445(+2.2%)","7,384(+1.6%)"
2020-09-17,2020-09-17,​ ​ ​,"467,689(+1.8%)","7,481(+1.3%)"
2020-09-18,2020-09-18,​ ​ ​,"475,265(+1.6%)","7,536(+0.74%)"
2020-09-19,2020-09-19,​ ​ ​,"484,990(+2%)","7,629(+1.2%)"
2020-09-20,2020-09-20,​ ​ ​,"511,346(+5.4%)","7,808(+2.3%)"
2020-09-21,2020-09-21,​ ​ ​,"519,537(+1.6%)","7,922(+1.5%)"
2020-09-22,2020-09-22,​ ​ ​,"526,876(+1.4%)","8,023(+1.3%)"
2020-09-23,2020-09-23,​ ​ ​,"533,850(+1.3%)","8,145(+1.5%)"
2020-09-24,2020-09-24,​ ​ ​,"540,847(+1.3%)","8,228(+1%)"
2020-09-25,2020-09-25,​ ​ ​,"548,557(+1.4%)","8,266(+0.46%)"
2020-09-26,2020-09-26,​ ​ ​,"557,212(+1.6%)","8,331(+0.79%)"
2020-09-27,2020-09-27,​ ​ ​,"566,023(+1.6%)","8,417(+1%)"
2020-09-28,2020-09-28,​ ​ ​,"575,566(+1.7%)","8,503(+1%)"
2020-09-29,2020-09-29,​ ​ ​,"582,458(+1.2%)","8,582(+0.93%)"
2020-09-30,2020-09-30,​ ​ ​,"592,911(+1.8%)","8,641(+0.69%)"
2020-10-01,2020-10-01,​ ​ ​,"601,767(+1.5%)","8,777(+1.6%)"
2020-10-02,2020-10-02,​ ​ ​,"611,837(+1.7%)","8,864(+0.99%)"
2020-10-03,2020-10-03,​ ​ ​,"620,630(+1.4%)","8,994(+1.5%)"
2020-10-04,2020-10-04,​ ​ ​,"630,516(+1.6%)","9,119(+1.4%)"
2020-10-05,2020-10-05,​ ​ ​,"640,661(+1.6%)","9,219(+1.1%)"
2020-10-06,2020-10-06,​ ​ ​,"647,712(+1.1%)","9,286(+0.73%)"
2020-10-07,2020-10-07,​ ​ ​,"657,705(+1.5%)","9,370(+0.9%)"
2020-10-08,2020-10-08,​ ​ ​,"668,652(+1.7%)","9,461(+0.97%)"
2020-10-09,2020-10-09,​ ​ ​,"679,356(+1.6%)","9,574(+1.2%)"
2020-10-10,2020-10-10,​ ​ ​,"690,269(+1.6%)","9,675(+1.1%)"
2020-10-11,2020-10-11,​ ​ ​,"700,786(+1.5%)","9,789(+1.2%)"
2020-10-12,2020-10-12,​ ​ ​,"710,309(+1.4%)","9,891(+1%)"
2020-10-13,2020-10-13,​ ​ ​,"717,915(+1.1%)","9,966(+0.76%)"
2020-10-14,2020-10-14,​ ​ ​,"726,106(+1.1%)","10,036(+0.7%)"
2020-10-15,2020-10-15,​ ​ ​,"735,371(+1.3%)","10,123(+0.87%)"
2020-10-16,2020-10-16,​ ​ ​,"743,848(+1.2%)","10,198(+0.74%)"
2020-10-17,2020-10-17,​ ​ ​,"751,390(+1%)","10,283(+0.83%)"
2020-10-18,2020-10-18,​ ​ ​,"758,574(+0.96%)","10,356(+0.71%)"
2020-10-19,2020-10-19,​ ​ ​,"765,586(+0.92%)","10,427(+0.69%)"
2020-10-20,2020-10-20,​ ​ ​,"770,604(+0.66%)","10,478(+0.49%)"
2020-10-21,2020-10-21,​ ​ ​,"776,901(+0.82%)","10,542(+0.61%)"
2020-10-22,2020-10-22,​ ​ ​,"782,773(+0.76%)","10,608(+0.63%)"
2020-10-23,2020-10-23,​ ​ ​,"788,551(+0.74%)","10,696(+0.83%)"
2020-10-24,2020-10-24,​ ​ ​,"793,907(+0.68%)","10,770(+0.69%)"
2020-10-25,2020-10-25,​ ​ ​,"798,378(+0.56%)","10,821(+0.47%)"
2020-10-26,2020-10-26,​ ​ ​,"802,817(+0.56%)","10,873(+0.48%)"
2020-10-27,2020-10-27,​ ​ ​,"805,947(+0.39%)","10,905(+0.29%)"
2020-10-28,2020-10-28,​ ​ ​,"809,638(+0.46%)","10,947(+0.39%)"
2020-10-29,2020-10-29,​ ​ ​,"812,784(+0.39%)","10,991(+0.4%)"
2020-10-30,2020-10-30,​ ​ ​,"816,809(+0.5%)","11,046(+0.5%)"
2020-10-31,2020-10-31,​ ​ ​,"820,398(+0.44%)","11,091(+0.41%)"
2020-11-01,2020-11-01,​ ​ ​,"823,412(+0.37%)","11,140(+0.44%)"
2020-11-02,2020-11-02,​ ​ ​,"827,064(+0.44%)","11,168(+0.25%)"
2020-11-03,2020-11-03,​ ​ ​,"829,640(+0.31%)","11,192(+0.21%)"
2020-11-04,2020-11-04,​ ​ ​,"832,396(+0.33%)","11,221(+0.26%)"
2020-11-05,2020-11-05,​ ​ ​,"835,773(+0.41%)","11,247(+0.23%)"
2020-11-06,2020-11-06,​ ​ ​,"838,929(+0.38%)","11,281(+0.3%)"
2020-11-07,2020-11-07,​ ​ ​,"841,889(+0.35%)","11,312(+0.27%)"
2020-11-08,2020-11-08,​ ​ ​,"844,147(+0.27%)","11,347(+0.31%)"
2020-11-09,2020-11-09,​ ​ ​,"846,887(+0.32%)","11,369(+0.19%)"
2020-11-10,2020-11-10,​ ​ ​,"848,850(+0.23%)","11,391(+0.19%)"
2020-11-11,2020-11-11,​ ​ ​,"851,212(+0.28%)","11,410(+0.17%)"
2020-11-12,2020-11-12,​ ​ ​,"853,796(+0.3%)","11,430(+0.18%)"
2020-11-13,2020-11-13,​ ​ ​,"855,912(+0.25%)","11,453(+0.2%)"
2020-11-14,2020-11-14,​ ​ ​,"857,928(+0.24%)","11,474(+0.18%)"
2020-11-15,2020-11-15,​ ​ ​,"860,082(+0.25%)","11,491(+0.15%)"
2020-11-16,2020-11-16,​ ​ ​,"861,647(+0.18%)","11,508(+0.15%)"
2020-11-17,2020-11-17,​ ​ ​,"862,804(+0.13%)","11,529(+0.18%)"
2020-11-18,2020-11-18,​ ​ ​,"864,140(+0.15%)","11,541(+0.1%)"
2020-11-19,2020-11-19,​ ​ ​,"865,931(+0.21%)","11,557(+0.14%)"
2020-11-20,2020-11-20,​ ​ ​,"867,780(+0.21%)","11,578(+0.18%)"
2020-11-21,2020-11-21,​ ​ ​,"869,561(+0.21%)","11,604(+0.22%)"
2020-11-22,2020-11-22,​ ​ ​,"871,342(+0.2%)","11,621(+0.15%)"
2020-11-23,2020-11-23,​ ​ ​,"873,046(+0.2%)","11,641(+0.17%)"
2020-11-24,2020-11-24,​ ​ ​,"874,555(+0.17%)","11,654(+0.11%)"
2020-11-25,2020-11-25,​ ​ ​,"876,425(+0.21%)","11,678(+0.21%)"
2020-11-26,2020-11-26,​ ​ ​,"878,055(+0.19%)","11,695(+0.15%)"
2020-11-27,2020-11-27,​ ​ ​,"879,560(+0.17%)","11,714(+0.16%)"
2020-11-28,2020-11-28,​ ​ ​,"881,086(+0.17%)","11,726(+0.1%)"
2020-11-29,2020-11-29,​ ​ ​,"882,608(+0.17%)","11,738(+0.1%)"
2020-11-30,2020-11-30,​ ​ ​,"883,899(+0.15%)","11,750(+0.1%)"
2020-12-01,2020-12-01,​ ​ ​,"884,897(+0.11%)","11,765(+0.13%)"
2020-12-02,2020-12-02,​ ​ ​,"886,227(+0.15%)","11,778(+0.11%)"
2020-12-03,2020-12-03,​ ​ ​,"887,667(+0.16%)","11,792(+0.12%)"
2020-12-04,2020-12-04,​ ​ ​,"889,113(+0.16%)","11,808(+0.14%)"
2020-12-05,2020-12-05,​ ​ ​,"890,360(+0.14%)","11,821(+0.11%)"
2020-12-06,2020-12-06,​ ​ ​,"891,685(+0.15%)","11,834(+0.11%)"
2020-12-07,2020-12-07,​ ​ ​,"893,006(+0.15%)","11,846(+0.1%)"
2020-12-08,2020-12-08,​ ​ ​,"894,004(+0.11%)","11,856(+0.08%)"
2020-12-09,2020-12-09,​ ​ ​,"895,284(+0.14%)","11,867(+0.09%)"
2020-12-10,2020-12-10,​ ​ ​,"896,563(+0.14%)","11,880(+0.11%)"
2020-12-11,2020-12-11,​ ​ ​,"897,801(+0.14%)","11,900(+0.17%)"
2020-12-12,2020-12-12,​ ​ ​,"899,011(+0.13%)","11,912(+0.1%)"
2020-12-13,2020-12-13,​ ​ ​,"900,214(+0.13%)","11,928(+0.13%)"
2020-12-14,2020-12-14,​ ​ ​,"901,410(+0.13%)","11,939(+0.09%)"
2020-12-15,2020-12-15,​ ​ ​,"902,240(+0.09%)","11,944(+0.04%)"
2020-12-16,2020-12-16,​ ​ ​,"903,425(+0.13%)","11,954(+0.08%)"
2020-12-17,2020-12-17,​ ​ ​,"904,665(+0.14%)","11,965(+0.09%)"
2020-12-18,2020-12-18,​ ​ ​,"905,901(+0.14%)","11,971(+0.05%)"
2020-12-19,2020-12-19,​ ​ ​,"907,123(+0.13%)","11,981(+0.08%)"
2020-12-20,2020-12-20,​ ​ ​,"908,275(+0.13%)","11,989(+0.07%)"
2020-12-21,2020-12-21,​ ​ ​,"909,469(+0.13%)","12,004(+0.13%)"
2020-12-22,2020-12-22,​ ​ ​,"910,241(+0.08%)","12,009(+0.04%)"
2020-12-23,2020-12-23,​ ​ ​,"911,382(+0.13%)","12,016(+0.06%)"
2020-12-24,2020-12-24,​ ​ ​,"912,340(+0.11%)","12,029(+0.11%)"
