Date,Date,,# of cases,# of deaths
2021-02-05,2021-02-05,​ ​ ​,"941,070(+0.05%)","12,225(+0.02%)"
2021-02-06,2021-02-06,​ ​ ​,"941,500(+0.05%)","12,227(+0.02%)"
2021-02-07,2021-02-07,​ ​ ​,"942,031(+0.06%)","12,230(+0.02%)"
2021-02-08,2021-02-08,​ ​ ​,"942,518(+0.05%)","12,233(+0.02%)"
2021-02-09,2021-02-09,​ ​ ​,"942,846(+0.03%)","12,236(+0.02%)"
2021-02-10,2021-02-10,​ ​ ​,"943,212(+0.04%)","12,239(+0.02%)"
2021-02-11,2021-02-11,​ ​ ​,"943,627(+0.04%)","12,241(+0.02%)"
2021-02-12,2021-02-12,​ ​ ​,"944,057(+0.05%)","12,244(+0.02%)"
2021-02-13,2021-02-13,​ ​ ​,"944,437(+0.04%)","12,251(+0.06%)"
2021-02-14,2021-02-14,​ ​ ​,"944,856(+0.04%)","12,259(+0.07%)"
2021-02-15,2021-02-15,​ ​ ​,"945,270(+0.04%)","12,263(+0.03%)"
2021-02-16,2021-02-16,​ ​ ​,"945,638(+0.04%)","12,265(+0.02%)"
2021-02-17,2021-02-17,​ ​ ​,"946,076(+0.05%)","12,267(+0.02%)"
2021-02-18,2021-02-18,​ ​ ​,"946,454(+0.04%)","12,273(+0.05%)"
2021-02-19,2021-02-19,​ ​ ​,"946,860(+0.04%)","12,276(+0.02%)"
2021-02-20,2021-02-20,​ ​ ​,"947,246(+0.04%)","12,282(+0.05%)"
2021-02-21,2021-02-21,​ ​ ​,"947,736(+0.05%)","12,287(+0.04%)"
2021-02-22,2021-02-22,​ ​ ​,"948,149(+0.04%)","12,292(+0.04%)"
2021-02-23,2021-02-23,​ ​ ​,"948,466(+0.03%)","12,294(+0.02%)"
2021-02-24,2021-02-24,​ ​ ​,"948,849(+0.04%)","12,299(+0.04%)"
2021-02-25,2021-02-25,​ ​ ​,"949,183(+0.04%)","12,303(+0.03%)"
2021-02-26,2021-02-26,​ ​ ​,"949,636(+0.05%)","12,309(+0.05%)"
2021-02-27,2021-02-27,​ ​ ​,"950,207(+0.06%)","12,316(+0.06%)"
2021-02-28,2021-02-28,​ ​ ​,"950,730(+0.06%)","12,320(+0.03%)"
2021-03-01,2021-03-01,​ ​ ​,"951,251(+0.05%)","12,326(+0.05%)"
2021-03-02,2021-03-02,​ ​ ​,"951,600(+0.04%)","12,331(+0.04%)"
2021-03-03,2021-03-03,​ ​ ​,"952,037(+0.05%)","12,336(+0.04%)"
2021-03-04,2021-03-04,​ ​ ​,"952,565(+0.06%)","12,343(+0.06%)"
2021-03-05,2021-03-05,​ ​ ​,"953,136(+0.06%)","12,346(+0.02%)"
2021-03-06,2021-03-06,​ ​ ​,"953,813(+0.07%)","12,350(+0.03%)"
2021-03-07,2021-03-07,​ ​ ​,"954,393(+0.06%)","12,354(+0.03%)"
2021-03-08,2021-03-08,​ ​ ​,"955,015(+0.07%)","12,359(+0.04%)"
2021-03-09,2021-03-09,​ ​ ​,"943,084(−1.2%)","12,362(+0.02%)"
2021-03-10,2021-03-10,​ ​ ​,"956,041(+1.4%)","12,373(+0.09%)"
2021-03-11,2021-03-11,​ ​ ​,"956,041(=)","12,373(=)"
2021-03-12,2021-03-12,​ ​ ​,"956,801(+0.08%)","12,379(+0.05%)"
2021-03-13,2021-03-13,​ ​ ​,"958,417(+0.17%)","12,386(+0.06%)"
2021-03-14,2021-03-14,​ ​ ​,"959,338(+0.1%)","12,387(+0.01%)"
2021-03-15,2021-03-15,​ ​ ​,"960,272(+0.1%)","12,390(+0.02%)"
2021-03-16,2021-03-16,​ ​ ​,"961,204(+0.1%)","12,397(+0.06%)"
2021-03-17,2021-03-17,​ ​ ​,"962,339(+0.12%)","12,403(+0.05%)"
2021-03-18,2021-03-18,​ ​ ​,"963,614(+0.13%)","12,407(+0.03%)"
2021-03-19,2021-03-19,​ ​ ​,"965,102(+0.15%)","12,415(+0.06%)"
2021-03-20,2021-03-20,​ ​ ​,"966,689(+0.16%)","12,425(+0.08%)"
2021-03-21,2021-03-21,​ ​ ​,"968,487(+0.19%)","12,432(+0.06%)"
2021-03-22,2021-03-22,​ ​ ​,"970,202(+0.18%)","12,434(+0.02%)"
2021-03-23,2021-03-23,​ ​ ​,"971,647(+0.15%)","12,444(+0.08%)"
2021-03-24,2021-03-24,​ ​ ​,"973,657(+0.21%)","12,449(+0.04%)"
2021-03-25,2021-03-25,​ ​ ​,"975,955(+0.24%)","12,461(+0.1%)"
2021-03-26,2021-03-26,​ ​ ​,"978,478(+0.26%)","12,471(+0.08%)"
2021-03-27,2021-03-27,​ ​ ​,"981,044(+0.26%)","12,484(+0.1%)"
2021-03-28,2021-03-28,​ ​ ​,"983,930(+0.29%)","12,492(+0.06%)"
2021-03-29,2021-03-29,​ ​ ​,"987,012(+0.31%)","12,504(+0.1%)"
2021-03-30,2021-03-30,​ ​ ​,"989,804(+0.28%)","12,520(+0.13%)"
2021-03-31,2021-03-31,​ ​ ​,"992,779(+0.3%)","12,541(+0.17%)"
2021-04-01,2021-04-01,​ ​ ​,"997,004(+0.43%)","12,567(+0.21%)"
2021-04-02,2021-04-02,​ ​ ​,"1,001,238(+0.42%)","12,585(+0.14%)"
2021-04-03,2021-04-03,​ ​ ​,"1,006,229(+0.5%)","12,591(+0.05%)"
2021-04-04,2021-04-04,​ ​ ​,"1,010,602(+0.43%)","12,610(+0.15%)"
2021-04-05,2021-04-05,​ ​ ​,"1,015,155(+0.45%)","12,625(+0.12%)"
2021-04-06,2021-04-06,​ ​ ​,"1,020,434(+0.52%)","12,657(+0.25%)"
2021-04-07,2021-04-07,​ ​ ​,"1,026,584(+0.6%)","12,696(+0.31%)"
2021-04-08,2021-04-08,​ ​ ​,"1,033,560(+0.68%)","12,731(+0.28%)"
2021-04-09,2021-04-09,​ ​ ​,"1,040,130(+0.64%)","12,767(+0.28%)"
2021-04-10,2021-04-10,​ ​ ​,"1,048,085(+0.76%)","12,813(+0.36%)"
2021-04-11,2021-04-11,​ ​ ​,"1,055,040(+0.66%)","12,849(+0.28%)"
2021-04-12,2021-04-12,​ ​ ​,"1,065,290(+0.97%)","12,889(+0.31%)"
2021-04-13,2021-04-13,​ ​ ​,"1,074,869(+0.9%)","12,941(+0.4%)"
2021-04-14,2021-04-14,​ ​ ​,"1,083,647(+0.82%)","13,008(+0.52%)"
2021-04-15,2021-04-15,​ ​ ​,"1,094,912(+1%)","13,046(+0.29%)"
2021-04-16,2021-04-16,​ ​ ​,"1,109,650(+1.3%)","13,112(+0.51%)"
2021-04-17,2021-04-17,​ ​ ​,"1,124,509(+1.3%)","13,190(+0.59%)"
2021-04-18,2021-04-18,​ ​ ​,"1,141,998(+1.6%)","13,270(+0.61%)"
2021-04-19,2021-04-19,​ ​ ​,"1,161,065(+1.7%)","13,351(+0.61%)"
2021-04-20,2021-04-20,​ ​ ​,"1,176,850(+1.4%)","13,497(+1.1%)"
2021-04-21,2021-04-21,​ ​ ​,"1,198,644(+1.9%)","13,646(+1.1%)"
2021-04-22,2021-04-22,​ ​ ​,"1,222,202(+2%)","13,762(+0.85%)"
2021-04-23,2021-04-23,​ ​ ​,"1,247,997(+2.1%)","13,885(+0.89%)"
2021-04-24,2021-04-24,​ ​ ​,"1,274,959(+2.2%)","14,075(+1.4%)"
2021-04-25,2021-04-25,​ ​ ​,"1,304,397(+2.3%)","14,283(+1.5%)"
2021-04-26,2021-04-26,​ ​ ​,"1,339,201(+2.7%)","14,426(+1%)"
2021-04-27,2021-04-27,​ ​ ​,"1,368,945(+2.2%)","14,627(+1.4%)"
2021-04-28,2021-04-28,​ ​ ​,"1,400,775(+2.3%)","14,807(+1.2%)"

