Book Name,Author,Rating,Customers_Rated,Price
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"13,032",₹ 99.00
Stories I Must Tell: The Emotional Life of an Actor,Kabir Bedi,4.4 out of 5 stars,43,₹ 524.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"26,937",₹ 280.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"47,253",₹ 139.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"30,436",₹ 223.00
"NCERT BOOK , Hornbill Textbook in English ,Snapshots Supplementary Reader in English for Class-XI (Core Course) ,[COMBO…",NCERT,4.3 out of 5 stars,51,₹ 94.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"17,536",₹ 99.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"2,364",₹ 56.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"11,041",₹ 195.00
As a Man Thinketh,James Allen,4.5 out of 5 stars,"2,140",₹ 59.00
My Activity- ABC Writing Book,Dreamland Publications,4.4 out of 5 stars,"1,040",₹ 80.00
VOCABULARY PRODIGY - ENGLISH WITH NIMISHA BANSAL,NIMISHA BANSAL,4.6 out of 5 stars,533,₹ 349.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"4,185",₹ 195.00
Capital Letters ABC: Write and practice Capital Letters A to Z book for kids (Writing Fun),Wonder House Books,4.3 out of 5 stars,952,₹ 42.00
My Big Book of Creative Crayons,Wonder House Books,4.5 out of 5 stars,96,₹ 149.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"8,852",₹ 160.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"4,833",₹ 95.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"10,922",₹ 106.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"6,079",₹ 188.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,494",₹ 455.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"4,618",₹ 206.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"5,046",₹ 570.00
"NCERT textbooks physics, chemistry and biology class 11(5 books combo) 2019 edition",NCERT,4.1 out of 5 stars,787,₹ 729.00
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.5 out of 5 stars,298,₹ 89.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"2,893",₹ 99.00
Brilliant Brain Activity Book 3+,Dreamland Publications,4.6 out of 5 stars,786,₹ 154.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5 out of 5 stars,"2,085",₹ 249.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"11,826",₹ 271.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"1,460",₹ 560.00
India & World Map ( Both Political & Physical ) with Constitution of India Chart & History of India Chart | NON…,Vidya Chitr Prakashan,4.6 out of 5 stars,94,₹ 180.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"19,759",₹ 99.00
Grandparents' Bag of Stories,Sudha Murty,4.8 out of 5 stars,504,₹ 140.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.5 out of 5 stars,587,₹ 499.00
101 Maze Activity Book: Fun Activity Book For Children,Wonder House Books Editorial,4.2 out of 5 stars,727,₹ 129.00
Whereabouts: A Novel,Jhumpa Lahiri,4.1 out of 5 stars,201,₹ 396.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,182",₹ 187.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"5,862",₹ 325.00
Colouring Books Boxset: Pack of 12 Copy Colour Books for Children,Wonder House Books,4.5 out of 5 stars,"1,299",₹ 299.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"2,749",₹ 99.00
Colouring Book of Shapes: Creative Crayons Series - Crayon Copy Colour Books,Wonder House Books,4.4 out of 5 stars,644,₹ 42.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,080",₹ 129.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5 out of 5 stars,"3,705",₹ 352.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"18,960",₹ 623.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"23,273",₹ 516.00
All In One - Writing Book (Practice),Maple Press,4.4 out of 5 stars,"1,229",₹ 149.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,736,₹ 159.00
My First Shapes and Colours Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.3 out of 5 stars,226,₹ 129.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.3 out of 5 stars,343,₹ 314.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"1,494",₹ 100.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"68,390",₹ 305.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,"1,096",₹ 129.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"4,368",₹ 799.00
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,"1,004",₹ 419.00
Concept of Physics - Part 1 & 2 2019 - 2020 Session (Set of 2 books),0,4.6 out of 5 stars,"1,117",₹ 722.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"7,048",₹ 209.00
My First All in One: Bilingual Picture Book for Kids Hindi-English,Wonder House Books,4.4 out of 5 stars,698,₹ 99.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"38,763",₹ 325.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"26,093",₹ 255.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,4.3 out of 5 stars,"1,512",₹ 522.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"3,082",₹ 208.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"6,964",₹ 261.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"5,524",₹ 159.00
The Secret Garden,Frances Hodgson Burnett,4.4 out of 5 stars,"7,676",₹ 124.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,056",₹ 435.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,363,₹ 191.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"2,542",₹ 550.00
NCERT textbooks physics chemistry maths and English combo for class 11 cbse board 2019 edition,0,4.1 out of 5 stars,245,₹ 800.00
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"3,233",₹ 99.00
